Time,PPG
0.0000,0.000000
0.0100,0.000000
0.0200,0.004119
0.0300,0.003337
0.0400,0.000000
0.0500,0.116796
0.0600,0.248187
0.0700,0.372982
0.0800,0.526143
0.0900,0.752000
0.1000,0.899115
0.1100,0.958873
0.1200,1.006025
0.1300,0.884704
0.1400,0.716934
0.1500,0.523858
0.1600,0.317451
0.1700,0.186652
0.1800,0.095138
0.1900,0.086971
0.2000,0.113255
0.2100,0.193297
0.2200,0.271726
0.2300,0.288929
0.2400,0.271571
0.2500,0.215449
0.2600,0.181158
0.2700,0.096514
0.2800,0.063090
0.2900,0.042168
0.3000,0.005291
0.3100,0.001992
0.3200,0.005996
0.3300,0.000000
0.3400,0.007000
0.3500,0.009828
0.3600,0.000000
0.3700,0.000000
0.3800,0.018953
0.3900,0.000000
0.4000,0.023817
0.4100,0.004567
0.4200,0.000000
0.4300,0.000000
0.4400,0.012519
0.4500,0.000000
0.4600,0.000000
0.4700,0.000000
0.4800,0.000000
0.4900,0.004813
0.5000,0.012192
0.5100,0.017203
0.5200,0.000000
0.5300,0.000000
0.5400,0.000000
0.5500,0.000000
0.5600,0.028772
0.5700,0.023736
0.5800,0.000000
0.5900,0.016575
0.6000,0.000000
0.6100,0.000000
0.6200,0.000000
0.6300,0.000000
0.6400,0.028615
0.6500,0.032120
0.6600,0.000000
0.6700,0.032406
0.6800,0.009843
0.6900,0.000000
0.7000,0.000000
0.7100,0.010081
0.7200,0.000000
0.7300,0.000000
0.7400,0.017199
0.7500,0.007157
0.7600,0.000000
0.7700,0.000000
0.7800,0.002839
0.7900,0.010694
0.8000,0.004212
0.8100,0.000000
0.8200,0.011354
0.8300,0.000000
0.8400,0.000000
0.8500,0.133663
0.8600,0.226676
0.8700,0.369613
0.8800,0.561825
0.8900,0.742620
0.9000,0.911137
0.9100,0.980529
0.9200,1.019788
0.9300,0.931618
0.9400,0.738474
0.9500,0.571791
0.9600,0.357878
0.9700,0.187084
0.9800,0.065600
0.9900,0.089691
