Time,PPG
0.0000,0.126553
0.0100,0.239772
0.0200,0.354588
0.0300,0.543442
0.0400,0.748099
0.0500,0.891748
0.0600,0.971399
0.0700,1.005497
0.0800,0.898176
0.0900,0.719764
0.1000,0.536913
0.1100,0.327832
0.1200,0.172326
0.1300,0.079313
0.1400,0.083917
0.1500,0.122796
0.1600,0.205166
0.1700,0.277781
0.1800,0.284398
0.1900,0.276406
0.2000,0.198758
0.2100,0.171145
0.2200,0.094714
0.2300,0.048266
0.2400,0.042517
0.2500,0.018942
0.2600,0.017893
0.2700,0.012853
0.2800,0.002570
0.2900,0.004983
0.3000,0.004092
0.3100,0.000000
0.3200,0.001656
0.3300,0.000000
0.3400,0.001459
0.3500,0.003828
0.3600,0.007769
0.3700,0.000000
0.3800,0.004763
0.3900,0.016953
0.4000,0.008427
0.4100,0.000000
0.4200,0.000000
0.4300,0.000000
0.4400,0.000000
0.4500,0.009351
0.4600,0.000000
0.4700,0.000000
0.4800,0.000000
0.4900,0.000000
0.5000,0.000000
0.5100,0.019984
0.5200,0.018114
0.5300,0.000000
0.5400,0.006147
0.5500,0.000000
0.5600,0.000000
0.5700,0.000000
0.5800,0.000000
0.5900,0.019871
0.6000,0.017815
0.6100,0.003905
0.6200,0.019362
0.6300,0.011324
0.6400,0.000000
0.6500,0.000000
0.6600,0.017593
0.6700,0.000000
0.6800,0.010284
0.6900,0.019271
0.7000,0.000000
0.7100,0.012474
0.7200,0.000000
0.7300,0.000000
0.7400,0.015309
0.7500,0.000000
0.7600,0.009956
0.7700,0.007017
0.7800,0.000000
0.7900,0.011864
0.8000,0.117163
0.8100,0.223518
0.8200,0.354424
0.8300,0.557276
0.8400,0.746908
0.8500,0.893462
0.8600,0.974642
0.8700,1.002174
0.8800,0.914237
0.8900,0.737368
0.9000,0.554560
0.9100,0.340072
0.9200,0.190378
0.9300,0.069912
0.9400,0.070671
0.9500,0.128442
0.9600,0.205816
0.9700,0.277133
0.9800,0.280251
0.9900,0.273683
1.0000,0.192717
1.0100,0.170945
1.0200,0.093093
1.0300,0.071354
1.0400,0.043900
1.0500,0.026925
1.0600,0.005363
1.0700,0.000000
1.0800,0.000000
1.0900,0.000000
1.1000,0.016633
1.1100,0.010400
1.1200,0.009730
1.1300,0.000000
1.1400,0.002288
1.1500,0.000000
1.1600,0.009985
1.1700,0.000000
1.1800,0.000000
1.1900,0.000000
1.2000,0.001776
1.2100,0.000000
1.2200,0.007688
1.2300,0.017517
1.2400,0.000000
1.2500,0.000000
1.2600,0.004295
1.2700,0.017634
1.2800,0.000000
1.2900,0.016864
1.3000,0.000000
1.3100,0.000000
1.3200,0.012707
1.3300,0.008413
1.3400,0.000000
1.3500,0.013922
1.3600,0.000000
1.3700,0.000000
1.3800,0.000000
1.3900,0.000000
1.4000,0.015266
1.4100,0.000000
1.4200,0.003331
1.4300,0.001401
1.4400,0.001041
1.4500,0.000000
1.4600,0.011804
1.4700,0.014779
1.4800,0.000000
1.4900,0.000000
1.5000,0.003841
1.5100,0.000000
1.5200,0.005979
1.5300,0.000000
1.5400,0.000000
1.5500,0.018672
1.5600,0.007561
1.5700,0.003096
1.5800,0.015881
1.5900,0.000000
1.6000,0.134468
1.6100,0.248298
1.6200,0.367824
1.6300,0.540431
1.6400,0.747689
1.6500,0.899439
1.6600,0.994572
1.6700,1.000374
1.6800,0.910987
1.6900,0.717138
1.7000,0.552997
1.7100,0.348085
1.7200,0.186673
1.7300,0.089080
1.7400,0.061815
1.7500,0.150624
1.7600,0.207737
1.7700,0.260037
1.7800,0.303358
1.7900,0.275473
1.8000,0.214339
1.8100,0.144187
1.8200,0.101867
1.8300,0.051089
1.8400,0.031841
1.8500,0.005725
1.8600,0.000000
1.8700,0.000000
1.8800,0.000000
1.8900,0.015179
1.9000,0.000000
1.9100,0.008614
1.9200,0.000000
1.9300,0.009933
1.9400,0.000000
1.9500,0.005377
1.9600,0.010630
1.9700,0.000000
1.9800,0.002517
1.9900,0.000000
2.0000,0.018874
2.0100,0.000000
2.0200,0.000000
2.0300,0.010172
2.0400,0.017766
2.0500,0.000000
2.0600,0.000000
2.0700,0.000000
2.0800,0.010454
2.0900,0.009561
2.1000,0.005504
2.1100,0.000000
2.1200,0.000000
2.1300,0.000000
2.1400,0.000000
2.1500,0.000000
2.1600,0.000000
2.1700,0.015746
2.1800,0.000000
2.1900,0.000000
2.2000,0.000000
2.2100,0.014348
2.2200,0.000000
2.2300,0.007031
2.2400,0.000000
2.2500,0.015694
2.2600,0.000000
2.2700,0.000000
2.2800,0.019705
2.2900,0.000000
2.3000,0.017685
2.3100,0.000000
2.3200,0.000000
2.3300,0.000000
2.3400,0.003301
2.3500,0.000000
2.3600,0.000000
2.3700,0.000000
2.3800,0.000000
2.3900,0.003527
2.4000,0.002557
2.4100,0.231868
2.4200,0.367758
2.4300,0.555250
2.4400,0.739670
2.4500,0.893238
2.4600,0.986757
2.4700,0.974639
2.4800,0.881038
2.4900,0.732496
2.5000,0.558203
2.5100,0.335189
2.5200,0.187513
2.5300,0.089168
2.5400,0.066551
2.5500,0.122990
2.5600,0.206231
2.5700,0.291831
2.5800,0.283953
2.5900,0.272315
2.6000,0.228241
2.6100,0.148262
2.6200,0.095117
2.6300,0.066474
2.6400,0.045586
2.6500,0.008847
2.6600,0.014287
2.6700,0.000000
2.6800,0.012874
2.6900,0.010715
2.7000,0.000000
2.7100,0.000000
2.7200,0.000000
2.7300,0.000000
2.7400,0.000000
2.7500,0.000000
2.7600,0.000000
2.7700,0.000000
2.7800,0.003699
2.7900,0.000000
2.8000,0.000000
2.8100,0.000000
2.8200,0.017305
2.8300,0.000000
2.8400,0.000000
2.8500,0.014603
2.8600,0.004372
2.8700,0.000000
2.8800,0.015500
2.8900,0.001894
2.9000,0.003898
2.9100,0.000000
2.9200,0.000000
2.9300,0.019194
2.9400,0.000000
2.9500,0.014743
2.9600,0.000000
2.9700,0.002664
2.9800,0.008111
2.9900,0.000000
3.0000,0.000000
3.0100,0.005677
3.0200,0.000000
3.0300,0.000000
3.0400,0.010942
3.0500,0.000000
3.0600,0.000000
3.0700,0.000000
3.0800,0.000000
3.0900,0.012236
3.1000,0.016896
3.1100,0.000000
3.1200,0.000000
3.1300,0.015057
3.1400,0.000000
3.1500,0.000651
3.1600,0.003016
3.1700,0.000000
3.1800,0.016964
3.1900,0.000000
3.2000,0.124516
3.2100,0.239881
3.2200,0.363527
3.2300,0.555089
3.2400,0.719036
3.2500,0.877560
3.2600,0.969342
3.2700,0.991787
3.2800,0.900200
3.2900,0.727259
3.3000,0.544981
3.3100,0.358217
3.3200,0.198650
3.3300,0.084164
3.3400,0.069155
3.3500,0.133957
3.3600,0.212307
3.3700,0.270744
3.3800,0.293601
3.3900,0.270768
3.4000,0.230997
3.4100,0.144699
3.4200,0.094507
3.4300,0.053775
3.4400,0.032589
3.4500,0.005182
3.4600,0.021055
3.4700,0.000000
3.4800,0.000000
3.4900,0.000000
3.5000,0.000000
3.5100,0.000000
3.5200,0.000000
3.5300,0.015540
3.5400,0.003472
3.5500,0.008277
3.5600,0.004201
3.5700,0.016960
3.5800,0.000000
3.5900,0.000000
3.6000,0.000000
3.6100,0.016224
3.6200,0.000000
3.6300,0.000000
3.6400,0.000328
3.6500,0.000000
3.6600,0.004260
3.6700,0.012103
3.6800,0.015328
3.6900,0.000000
3.7000,0.001142
3.7100,0.000000
3.7200,0.000000
3.7300,0.015491
3.7400,0.004378
3.7500,0.000000
3.7600,0.000000
3.7700,0.003461
3.7800,0.019655
3.7900,0.000000
3.8000,0.019698
3.8100,0.019497
3.8200,0.000110
3.8300,0.000000
3.8400,0.007862
3.8500,0.014045
3.8600,0.009107
3.8700,0.018540
3.8800,0.000041
3.8900,0.000000
3.9000,0.000000
3.9100,0.000000
